Time,Open,High,Low,Close,Volume,Complete
2019-03-04 22:00:00+00:00,1.13396,1.13412,1.12896,1.13078,15716,True
2019-03-05 22:00:00+00:00,1.13078,1.13246,1.12854,1.13066,14393,True
2019-03-06 22:00:00+00:00,1.13072,1.13202,1.11764,1.1194,25478,True
2019-03-07 22:00:00+00:00,1.11937,1.12461,1.11854,1.12347,19054,True
2019-03-10 21:00:00+00:00,1.12336,1.12586,1.12218,1.1245,13375,True
2019-03-11 21:00:00+00:00,1.12452,1.1305,1.12452,1.12874,20105,True
2019-03-12 21:00:00+00:00,1.12864,1.13387,1.12776,1.13278,14718,True
2019-03-13 21:00:00+00:00,1.13296,1.13376,1.12942,1.13044,16036,True
2019-03-14 21:00:00+00:00,1.13032,1.13444,1.12998,1.1325,12998,True
2019-03-17 21:00:00+00:00,1.13226,1.13588,1.13194,1.13394,10656,True
2019-03-18 21:00:00+00:00,1.13354,1.13616,1.13338,1.13507,10636,True
2019-03-19 21:00:00+00:00,1.13521,1.14482,1.13358,1.14128,19452,True
2019-03-20 21:00:00+00:00,1.14128,1.14376,1.13428,1.13754,19644,True
2019-03-21 21:00:00+00:00,1.13749,1.13906,1.12736,1.13014,25251,True
2019-03-24 21:00:00+00:00,1.1293,1.13314,1.12892,1.13128,15789,True
2019-03-25 21:00:00+00:00,1.13108,1.13259,1.12634,1.12656,16060,True
2019-03-26 21:00:00+00:00,1.1265,1.12856,1.12423,1.1244,21214,True
2019-03-27 21:00:00+00:00,1.12452,1.12612,1.12137,1.1224,20207,True
2019-03-28 21:00:00+00:00,1.12217,1.12466,1.121,1.12178,19942,True
2019-03-31 21:00:00+00:00,1.12296,1.12498,1.12041,1.12128,16328,True
2019-04-01 21:00:00+00:00,1.12125,1.12161,1.11839,1.12044,13928,True
2019-04-02 21:00:00+00:00,1.12042,1.12546,1.1201,1.1233,13767,True
2019-04-03 21:00:00+00:00,1.1233,1.12478,1.12061,1.12206,11388,True
2019-04-04 21:00:00+00:00,1.12197,1.12464,1.12103,1.12162,11740,True
2019-04-07 21:00:00+00:00,1.12176,1.12746,1.12144,1.12611,9177,True
2019-04-08 21:00:00+00:00,1.12629,1.12842,1.12553,1.12627,11146,True
2019-04-09 21:00:00+00:00,1.12627,1.12876,1.12298,1.12737,15079,True
2019-04-10 21:00:00+00:00,1.12734,1.12874,1.125,1.12541,10608,True
2019-04-11 21:00:00+00:00,1.12536,1.13239,1.12536,1.12988,12464,True
2019-04-14 21:00:00+00:00,1.13046,1.1321,1.12976,1.13044,9631,True
2019-04-15 21:00:00+00:00,1.13042,1.1314,1.12796,1.12808,14524,True
2019-04-16 21:00:00+00:00,1.12828,1.13237,1.12788,1.1298,12141,True
2019-04-17 21:00:00+00:00,1.12962,1.13042,1.12263,1.12306,16438,True
2019-04-18 21:00:00+00:00,1.1231,1.12477,1.1229,1.12452,3379,True
2019-04-21 21:00:00+00:00,1.12447,1.1262,1.1236,1.12572,4239,True
2019-04-22 21:00:00+00:00,1.12572,1.12612,1.11924,1.12272,11482,True
2019-04-23 21:00:00+00:00,1.12268,1.12268,1.11406,1.11538,18309,True
2019-04-24 21:00:00+00:00,1.11538,1.11625,1.11184,1.1132,15505,True
2019-04-25 21:00:00+00:00,1.1132,1.11739,1.11115,1.11472,17895,True
2019-04-28 21:00:00+00:00,1.11465,1.11868,1.11452,1.11852,9923,True
2019-04-29 21:00:00+00:00,1.11854,1.12292,1.1176,1.12151,15722,True
2019-04-30 21:00:00+00:00,1.12151,1.12649,1.11873,1.11949,19826,True
2019-05-01 21:00:00+00:00,1.11962,1.12191,1.1171,1.11726,14734,True
2019-05-02 21:00:00+00:00,1.11722,1.12048,1.11354,1.12013,18001,True
2019-05-05 21:00:00+00:00,1.11738,1.12093,1.11708,1.11994,14192,True
2019-05-06 21:00:00+00:00,1.12004,1.1218,1.11666,1.11917,16102,True
2019-05-07 21:00:00+00:00,1.11912,1.12136,1.11829,1.11921,18556,True
2019-05-08 21:00:00+00:00,1.11914,1.1251,1.11736,1.12132,21220,True
2019-05-09 21:00:00+00:00,1.12168,1.12536,1.12142,1.12336,17069,True
